s_no,source_sheet,budget_head,name_of_scheme,sub_scheme_name,ftr_hq_name,shq_name,location,work_description,executive_agency,aa_es_reference,sd_amount_lakh,ts_date,tender_date,remarks,created_at,updated_at,acceptance_date,time_allowed_days,pdc_agreement,award_date,pdc_revised,completion_date_actual,firm_name,physical_progress_percent,expenditure_previous_fy,expenditure_current_fy,expenditure_total,expenditure_percent,current_status,id,delay_days,expected_progress,health_status,health_score,progress_category,risk_level,priority,status,efficiency_score,quality_score,forecast_completion,budget_variance,monthly_burn_rate,message,row
ENG-1761419859723-693,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,STC KMR,KMR,,Construction of training complex at BSF Campus Humhama for STC BSF Kashmir (SH;C/O Drill Shed),Dept,O/No. 9670-76 dated 07.11.24,389.9,2025-10-08,2025-10-10,"TS of main work accorded by Comdt(W) on 09/10/2025. NIT also approved by Comdt(W) on 09/10/2025
Tender called and due to open on 21/10/2025",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,2.21,2.21,0.57,,,,,,,,,,,,,,,,,
ENG-1761419859723-694,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,STC KMR,KMR,,Construction of Overhead tank (02 lakh litres capacity) and under ground sump (05 Lakh litres capacity) alongwith tube well with pipe lines including mono pump room at STC BSF Campus; Humhama Kashmir,CPWD,O/No. 9677-85 dated 07.11.2024,328.91,,,"** On dated 5/03/2025 ;CPWD submitted a letter to STC about the planning of execution of work which is as under:-                                                                                                                                                                       1)technical sanction under progress                                                                                                                                                                                                                                      2)Approval of NIT by 15.04.2025                                                                                                                                                                                                                                   3)Tendering process and award of work 31.05.2025                                                                                                                                                         4)Completion of work 31.05.2026
Present status- Tender opened on 25.04.2025 & no bidder participated and fresh tender invited shortlly
* Pilot hole for deep tube well work is under progress.
* Site for C/O Overhead tank and underground sump near Morcha No. 15 has been selected by BSF Auth & EE; CPWD Auth on 29.08.2025. in this regard; letter also been forwarded to Air Force; Commanding Officers; Air Force Station; Humhama; Srinagar for accord of No Objection Certificate vide STC L/ No. 20371 dtd 02.09.2025 & L/ No. 21210 dtd 19.09.2025.",2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-695,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,HQ SDG(WC),WC CHD,,C/O GOs Mess; electric sub station with Basement of SDG(WC) near 3 BRD Chandigarh,CPWD,"FHQ O/No 9772-78 dtd 07/11/2024 for Rs 1194.74

Revised AA&ES issued by FHQ vide O/no 12638-2646 dtd 06/05/2025",1997.81,,,Revised AA&ES issued by FHQ on 06/05/2025. accordinlgy CPWD has informed to start execution of the work at the earleist.,2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-696,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,HQ SDG(WC),WC CHD,,C/O of Atithi Grah at BSF Campus Lakhnaur; Mohali(PB) of 98 Bn BSF (now 148 Bn BSF),Dept,FHQ O/No 9765-71 dtd 07/11/2024,231.78,06.06.25,12.06.25,Work in progress,2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,2025-07-29,360,2026-08-19,2025-08-24,,,M/s Disha Asshociates,2,0,2.34,2.34,1.01,,,,,,,,,,,,,,,,,
ENG-1761419859723-697,Construction of NRB,OB(BS),Umbrella 201-26,C/o NRB,HQ SDG(WC),WC CHD,,C/O SOs Mess with 45 Suits at BSF Campus Lakhnaur; Mohali(PB) of 98 Bn BSF (now 148 BN BSF),Dept,FHQ O/No 9758-64 dtd 07/11/2024,695.48,06.06.25,12.06.25,Work in progress,2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,2025-07-29,460,2026-10-30,2025-08-24,,,M/s Disha Asshociates,2,0,22.99,22.99,3.31,,,,,,,,,,,,,,,,,
ENG-1761419859723-698,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Kashmir,BLA,,C/O 02 Nos Type-IV and 01 No Type-V Qtr at BN HQ Singhpura under SHQ BSF BLA,Dept,FHQ O/No 2312-20 dtd 28/07/2025,295.41,,,,2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-699,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Jammu,RJR,,C/o 39 Residential Quarters (Four storey RCC framed structure C/o Type-II/24; Type-III/08; Type-IV/06 and Type-V/01 No (I/C water supply and electrical installation) for Bn HQ at Dangri (J&K).,CPWD,23.05.2025,2360,,,,2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-700,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Jammu,SBN,,C/O 33 Nos Res Qtrs (Tupe-II-20 Nos; Type-III-08 Nos; Type-IV -04 Nos; Type-V-01 No) (i/c water supply and Electrial installation) for SHQ BSF Sunderbani,CPWD,FHQ O/No 5334-45 dtd 29/07/2025,1958.5,,,,2025-10-25T19:17:42.215Z,2025-10-25T19:17:42.215Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-701,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Jammu,Ftr JMU,,C/O residential Qtrs (Four storey RCC framed Structure Type-IV- 04 Nos and Type-V -4 Nos) i/c water supply and electrical installation in Ftr HQ/SHQ/Bn HQ at Paloura Camp; Jammu,CPWD,FHQ O/No 5346-56 dtd 29/07/2025,749.8,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-702,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Jammu,I/NAGAR,,C/O type-II- 16 Nos & Type-III- 08 Nos Residential Qtrs for BSF Campus Painthy under Ftr HQ BSF Jammu i/c Dev of site,CPWD,FHQ O/No 5357-68 dtd 29/07/2025,1864.37,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-703,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Jammu,I/NAGAR,,C/O 76 Nos Residential Qtrs (G+1) (Type-II/48; Type-III/ 28) 01 no 120 Men barrack i/c external development for SHQ & BN HQ at Indreshwar Nagar under  Ftr HQ BSF Jammu,CPWD,,3959.8,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-704,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Punjab,GSP,,C/O Residential accommodation of T-II/48 Nos; T-III/12 Nos; T/IV/04 & T/V/02 Nos Qtrs of  BSF KLP Kalanour Dera Baba Nanak (Multistorey).,CPWD,,3506.87,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-705,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Punjab,ABR,,C/O Residential accommodation of T-II/36 Nos; T-III/32 Nos at BSF Abohar (Punjab),CPWD,,4158.64,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-706,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Punjab,ASR,,C/O Residential accommodation of T-III-24 Nos; Type-IV-02 Nos & Type-V-01 No at BSF Ajnala(Multistorey),CPWD,FHQ O/No 2346-56 dtd 29/07/2025,1641.12,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-707,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Punjab,ASR,,C/O Residential accommodation of T-IV-04 Nos Qtrs at BSF Campus Amritsar,CPWD,FHQ O/No 2357-66 dated 29/07/2025,202.05,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-708,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Punjab,Ftr PB,,C/O Residential accommodtion of Type V-01 No Qtr at BSF Campus Jalandhar,CPWD,FHQ O/No 2357-66 dated 29/07/2025,73.08,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-709,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Rajasthan,SGNR,,C/O 03 Nos Residential Qtrs (T-IV-02 Nos & T-V-01 Nos ) for Bn HQ &A Chhoti 48 Bn BSF under SHQ BSF Sriganganagar,Dept,FHq O/No 2396-2405 dated 30/07/2025,221.89,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-710,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Gujarat,Ftr GUJ,,C/O 02 Nos Type-V Residential Qtrs at 53 Bn BSF Gandhinagar; Gujarat,Dept,FHQ O/No 2406-15 dated 30/07/2025,232,,,Tender for Consultancy services called and to be opened on 29.10.25,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-711,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Gujarat,BHUJ,,C/O 72 Residential Qtrs(44 type-II;24 type-III;02 type IV &02 type V) at Bhuj SHQ/ BN HQ under Gujarat FTR.,,NO.2917-28 dtd 20.05.25,3350,,,under tender,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-712,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Gujarat,BMR,,C/O 36 nos Residential Qtrs (T/II- 18 nos (G+2); T/III-16 nos 02 G+2 & 1 Block (G+1);Type IV/2 (S/S) nos including water supply; sanitary installation; internal electrical installation and development work; at Bn HQ campus I; Nehru Nagar BSF ; Distt- Barmer (Raj) @ Rs. 1610.84 lakh,CPWD,No 2438-49,1610.84,,,Planning under process.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-713,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,Gujarat,BMR,,C/O 01 No Type-V Residential Qtr at Barmer-I Nehru Nagar Campus Distt- Barmer (Rajasthan) under SHQ BSF Barmer. @ Rs. 135.30 lakh,Dept,FHQ O/No 2431-37 dated 31/07/2025,135.3,,,Estimate is being submitted to FTR-Guj for accord of TS for consultancy service.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-714,Construction of RB,RB(BS),Umbrella 2021-26,C/O Res Buildings,HQ SDG(WC),WC CHD,,C/O 02 Nos Type-VI Qtrs (Duplex) for HQ SDG BSF (WC) BSF Chandigarh including Electric works,CPWD,No 2477-87 dtd 04/08/2025,212.7,,,,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-1761419859723-715,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,BLA,,Construction of septic tank for Ors toilet at THQ 91 Bn BSF under SHQ BSF Baramulla,Dept,3627-32 dated 03/08/2023,10.4326,2023-08-18,23/08/2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,11/09/2023,180 days,20/03/2024,19/09/2023,20/03/2024,15.12.2023,M/s Irshad Ahmed Lone; Baramulla,100,9.77,0,9.77,93.65,,,,,,,,,,,,,,,,,
ENG-1761419859723-716,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,BLA,,Construction of septic tank for Sos toilet at THQ 91 Bn BSF under SHQ BSF Baramulla,Dept,3627-32 dated 03/08/2023,10.43193,19/08/2023,23/08/2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,09/09/2023,180 days,18/03/2024,19/09/2023,18/03/2024,15.12.2023,M/s Irshad Ahmed Lone; Baramulla,100,9.76,0,9.76,93.56,,,,,,,,,,,,,,,,,
ENG-1761419859723-717,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,BLA,,Construction of toilet block at AI post Boniyar of 63 Bn BSF under SHQ BSF Baramulla,Dept,3627-32 dated 03/08/2023,10.6938,19/08/2023,23/08/2023,Work completed. 2nd and final bill of Rs.5.88 Lakh pending with SHQ for want of funds.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,11/09/2023,180 days,20/03/2024,18/09/2023,20/03/2024,,M/s Nasir Ahmed Naik; Singhpura,100,3.61,7.9,11.51,107.63,,,,,,,,,,,,,,,,,
ENG-1761419859723-718,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,FTR KMR,,Renewing of chocked sewer line of residential Qtrs at BSF campus Humhama under ftr HQ BSF Kashmir,Dept,3627-32 dated 03/08/2023,23.65102,22.08.2023,22/08/2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,23/09/2023,180 days,30/03/2024,03.10.2023,30/03/2024,,Mohd Akbar Bhat; Srinagar,100,16.59,0,16.59,70.14,,,,,,,,,,,,,,,,,
ENG-1761419859723-719,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,SGR,,Improvement of sewerage line at Panthachowk location under SHQ BSF Srinagar,Dept,3627-32 dated 03/08/2023,19.243,14.08.2023,07.10.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,11/11/2023,180 days,18.05.24,21/11/2023,18.05.24,,M/s Ovais Rashid Daga; Srinagar,100,15.85,0,15.85,82.37,,,,,,,,,,,,,,,,,
ENG-1761419859723-720,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,FTR KMR,,Renovation/up-gradation of toilet block at Transit camp Jammu under FTR HQ BSF  Kashmir,Dept,3627-32 dated 03/08/2023,10.6938,14.08.2023,14/08/2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,22/09/2023,90 days,21.01.2024,13.10.2023,21.01.2024,,Mr. Mahnawaz Bhat; Srinagar,100,10.75,0,10.75,100.53,,,,,,,,,,,,,,,,,
ENG-1761419859723-721,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,SGR,,Improvement/ up-gradation of toilet block of 12 suits Sos mess and common toilet of Sos mess (civil+elect) at Panthachowk location under SHQ BSF Srinagar,Dept,3627-32 dated 03/08/2023,16.0407,14.08.2023,14/08/2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,3.09.23,180 days,01.05.24,19.10.23,01.05.24,15.12.23,M/s Irshad Ahmed Lone; Baramulla,100,15.78,0,15.78,98.37,,,,,,,,,,,,,,,,,
ENG-1761419859723-722,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,BDR,,Improvement+up-gradation of toilet block of Mini Officers mess; Sos Mess Govt. Family Qtrs Type-I & Type-II and Ors mess at Bn HQ Bandipur and office of commanding Officer; Sos mess and ORS mess at THQ Tragbal under SHQ BSF Bandipur. (civil+elect),Dept,3627-32 dated 03/08/2023,3,14.08.23,"28/11/2023
",Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,15.11.23,120  days,25.03.24,22.12.23,,15.12.23,M/s Irshad Ahmed Lone; Baramulla,100,2.85,0,2.85,95,,,,,,,,,,,,,,,,,
ENG-1761419859723-723,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,BDR,,Renovation/up-gradation of sewerage line and bathrooms of 115 Bn BSF campus Sanatnagar under SHQ BSF Bandipur (civil+elect),Dept,3627-32 dated 03/08/2023,7.48096,14.08.2023,14/08/2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,08/11/2023,120 days,19/03/2024,21/11/2023,19/03/2023,20.10.24,M/s Nasir Ahmed Naik; Singhpura,100,6.52,0,6.52,87.15,,,,,,,,,,,,,,,,,
ENG-1761419859723-724,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,BLA,,Improvement/Up-gradation of existing toilet block of 120 men jawan barrack 24 Bn BSF,Dept,3627-32 dated 03/08/2023,5.3469,19/08/2023,23/08/2023,Work completed .,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,11/09/2023,90 days,19/01/2024,18/09/2023,19.01.2024,21.05.24,Mohd Akbar Bhat; Srinagar,100,5.48,0,5.48,102.49,,,,,,,,,,,,,,,,,
ENG-1761419859723-725,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,BLA,,Improvement/up-gradation of existing toilet of Ors &Sos at THQ Baramulla 24 Bn BSF,Dept,3627-32 dated 03/08/2023,3.20814,19/08/2023,23/08/2023,Work completed .,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,11/09/2023,90 days,20/12/2023,18/09/2023,20.12.2023,18.05.25,M/s Ovais Rashid Daga; Srinagar,100,2.72,0,2.72,84.78,,,,,,,,,,,,,,,,,
ENG-1761419859723-726,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,KUP,,Improvement / up-gradation of existing toilet block of ORS & SOS at Kupwara campus of 140 Bn BSF,Dept,3627-32 dated 03/08/2023,2.13769,19.08.2023,12.10.2023,work completed,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,25/11/2023,90 days,05.09.2024,29.01.24,05.09.24,24.02.24,Mr. Mahnawaz Bhat; Srinagar,100,2.1,0,2.1,98.24,,,,,,,,,,,,,,,,,
ENG-1761419859723-727,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Kashmir,KUP,,Improvement/ up-gradation of existing toilet block near office with septic tank at BSF campus Trehgam of 172 Bn BSF,Dept,3627-32 dated 03/08/2023,2.12085,19.08.2023,19/08/2023,Work completed,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,18.10.2023,90 days,03.02.2024,23.10.2023,03.02.2024,01.05.24,Abdul Rashid Dagga; Srinagar,100,2.14,0,2.14,100.9,,,,,,,,,,,,,,,,,
ENG-1761419859723-728,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,FTR JMU,,Improvement of 03 Nos Toilet block of Security Coy at BSF Campus Paloura under Ftr HQ BSF Jammu,Dept,3627-32 dated 03/08/2023,15.38,14.10.2023,08.12.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,14.12.2023,,30.06.24,01.01.24,,18.06.24,M/s State Tradomg Co,100,0,7.31,7.31,47.53,,,,,,,,,,,,,,,,,
ENG-1761419859723-729,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,FTR JMU,,Construction of toilet block near Jawan Barrack of Ftr G Branch at BSF Campus Paloura under Ftr HQ BSF Jammu,Dept,3627-32 dated 03/08/2023,10.01,08.09.2023,12.10.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,16.11.2023,,15.05.2024,22.11.2023,,22.05.24,M/s Suraj Parkash Sharma,100,0,5.05,5.05,50.45,,,,,,,,,,,,,,,,,
ENG-1761419859723-730,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,I/NAGAR,,Improvement of toilet block of 120 Men Jawan barrack at BSF Campus I/Nagar presently used by SHQ BSF I/Nagar,Dept,3593608 dated 03/08/2023,14.94,06.09.2023,04.10.2023,Work completed,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,29.11.2023,,07.03.2024,12.12.2023,01.07.24,01.07.24,M/s Kanwal Nain Behl,100,0,9.88,9.88,66.13,,,,,,,,,,,,,,,,,
ENG-1761419859723-731,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,I/NAGAR,,Construction of Toilet block in MT Complex at Bn HQ Samba under Occupation 161 bn BSF under SHQ BSF I/Nagar,Dept,3627-32 dated 03/08/2023,10.69,06.09.2023,04.10.2023,Work completed,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,29.11.2023,,07.03.2024,22.12.2023,07.03.24,07.03.24,M/s Shiv Charan,100,0,8.89,8.89,83.16,,,,,,,,,,,,,,,,,
ENG-1761419859723-732,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,I/NAGAR,,Construction of Mahila Toilet at Office complex of 51 Bn BSF under SHQ BSF I/Nagar,Dept,3627-32 dated 03/08/2023,3.74,22.08.2023,26.09.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,16.10.2023,,23.01.2024,27.10.2023,24.01.24,24.01.24,M/S; Raja Ram Sharma,100,0,3.04,3.04,81.28,,,,,,,,,,,,,,,,,
ENG-1761419859723-733,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,I/NAGAR,,Improvement/Upgradation of sewerline and Toilet block of 120 Men Jawan barrack of 51 Bn BSF under SHQ BSF I/Nagar,Dept,3627-32 dated 03/08/2023,6.95,06.09.2023,04.10.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,29.11.2023,,07.03.2024,12.12.2023,05.03.24,05.03.24,M/s Kanwal Nain Behl,100,0,6.59,6.59,94.82,,,,,,,,,,,,,,,,,
ENG-1761419859723-734,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,SBN,,Renovation/Up-gradation of Toilet block of 120 Men Jawan barrack of 46 Bn BSF under SHQ BSF Sunderbani,Dept,3627-32 dated 03/08/2023,10.53,25.09.2023,06.11.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,15.12.2023,,22.04.2024,10.01.2024,,20.04.2024,Om Prakash,100,0,5.28,5.28,50.14,,,,,,,,,,,,,,,,,
ENG-1761419859723-735,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,SBN,,Renovation/Up-gradation of Toilet block of 120 Men Jawan barrack of 69 Bn BSF under SHQ BSF Sunderbani,Dept,3627-32 dated 03/08/2023,10.53,25.09.2023,20.01.2024,Work completed,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,09.02.2024,,18.06.2024,19.02.2024,,,Shakti Kumar Kapoor,100,0,0,0,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-736,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,SBN,,Renovation/Up-gradation of Toilet block of 120 Men Jawan barrack of 171 Bn BSF under SHQ BSF Sunderbani,Dept,3627-32 dated 03/08/2023,10.53,25.09.2023,06.11.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,15.12.2023,,10.05.2024,10.01.2024,,,Shakti Kumar Kapoor,100,0,8.5,8.5,0,,,,,,,,,,,,,,,,,
ENG-1761419859723-737,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,SBN,,Repair and maintenance of toilet block at MI Room of 69 Bn BSF under SHQ BSF Sunderbani,Dept,3627-32 dated 03/08/2023,5.34,26.09.2023,11.10.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,02.11.2023,,10.03.2024,07.11.2023,,,Akushan,100,2.3,1.64,3.9399999999999995,73.78,,,,,,,,,,,,,,,,,
ENG-1761419859723-738,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,RJR,,Renovation of Jawan toilet blocks at THQ Khanetar Nallah under SHQ BSF Rajouri,Dept,3627-32 dated 03/08/2023,5.33,02.09.2023,22.09.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,07.11.2023,,07.02.2024,20.11.2023,,,M/s Yaser Arafat Construction,100,0,4.37,4.37,81.99,,,,,,,,,,,,,,,,,
ENG-1761419859723-739,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Jammu,RJR,,Repairing of water storage tank and pipe line at Tac HQ Achhad under SHQ BSF Rajouri,Dept,3627-32 dated 03/08/2023,1.07,31.08.2023,09.11.2023,Work completed.,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,09.11.2023,,23.11.2023,09.11.2023,,,,100,0,1.06,1.06,99.07,,,,,,,,,,,,,,,,,
ENG-1761419859723-740,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Punjab,FTR PB,,Replacement of sewerage line for residential and non-residential area at Ftr HQ BSF Campus Jalandhar,Dept,3627-32 dated 03/08/2023,4.82,15.08.23,19.08.2023,Work completed,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,21.09.2023,90,01.12.2023,27.09.2023,,01.12.2023,M/S Amit Kumar,100,2.06067,1.60802,3.66869,76.11,,,,,,,,,,,,,,,,,
ENG-1761419859723-741,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Punjab,GSP,,Improvement of existing toilet block of 120 men jawan barrack No. 02 at Bn HQ 121 Bn BSF Madhopur under SHQ BSF Gurdaspur,Dept,3627-32 dated 03/08/2023,12.82,15.08.23,01.09.2023,Work completed,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,20.09.2023,120,28.01.2024,29.09.2023,,28.01.2024,M/S Goraya & Co.,100,9.03,6.71,15.739999999999998,122.78,,,,,,,,,,,,,,,,,
ENG-1761419859723-742,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Punjab,GSP,,Repair and maintenance of sewer line at SHQ BSF Gurdaspur,Dept,3627-32 dated 03/08/2023,7.38,15.08.23,01.09.2023,Work completed,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,05.10.2023,90,28.01.2024,16.10.2023,,28.01.2024,M/S Bakhshish Masih,100,2.87,7.95,10.82,146.61,,,,,,,,,,,,,,,,,
ENG-1761419859723-743,SAP 2022-23,SAP(BS),Umbrella Scehme 2021-26,SAP 22-23,Punjab,GSP,,Repair and maintenance of sewer line at Bn HQ Shikar of 89 Bn BSF under SHQ BSF Gurdaspur,Dept,3627-32 dated 03/08/2023,14.01,15.08.23,01.09.2023,Work completed,2025-10-25T19:17:42.217Z,2025-10-25T19:17:42.217Z,05.10.23,90,28.01.2024,04.10.2023,,28.01.2024,M/S Bakhshish Masih,100,7.45,4.63,12.08,86.22,,,,,,,,,,,,,,,,,
